484273,一汽-大众,CC,2013款 1.8TSI 豪华型,一汽大众CC中控隔音棉质量差导致车内异味,车身附件及电器车内异味,2020-06-15,处理反馈
484272,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑内饰破损4S店拒绝质保,车身附件及电器部件开裂,2020-06-15,用户评分
484271,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念豪华版,广汽丰田凯美瑞两前半轴漏油要求免费更换,前后桥及悬挂系统半轴渗油,2020-06-15,处理反馈
484269,上汽集团,荣威RX3,2020款 1.6L 手动 超爽进取版,上汽荣威RX3漆面厚度与标准差异大,销售欺诈出售问题车,2020-06-15,用户评分
484266,上汽大众,凌渡,2017款 230TSI DSG 风尚版,上汽大众凌渡变速箱漏油4S店拒绝质保,变速器漏油,2020-06-15,处理反馈
484263,上汽大众,途安,2016款 途安L 330TSI 自动 豪华版,上汽大众途安天窗漏水希望尽快解决,车身附件及电器天窗漏水,2020-06-15,处理反馈
484262,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁方向盘异响厂家未解决问题,转向系统异响服务态度不解决问题,2020-06-15,处理反馈
484260,众泰汽车,众泰T300,2017款 1.5L 手动 尊享型,众泰T300天窗震动 左侧后视镜转向灯不亮,车身附件及电器天窗异响车身附件及电器车灯不亮,2020-06-15,处理反馈
484258,广汽本田,锋范,2015款 1.5L CVT 舒适版,广汽本田锋范冷车启动发动机有异响,发动机异响,2020-06-15,处理反馈
484256,广汽丰田,凯美瑞,2018款 2.5G 自动 豪华版,广汽丰田凯美瑞车内异味怠速时发动机抖动,发动机抖动车身附件及电器车内异味,2020-06-15,处理反馈
484255,一汽-大众奥迪,奥迪A4L,2017款 2.0T 双离合 时尚型,一汽大众奥迪A4L天窗漏水存在质量问题,车身附件及电器天窗漏水,2020-06-15,信息审核
484254,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 舒适型,一汽大众奥迪Q5节温器和水泵漏防冻液,发动机漏防冻液发动机水泵故障,2020-06-15,信息审核
484253,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L发动机异响厂家未回复处理,发动机异响服务态度不解决问题服务态度厂家不回复,2020-06-15,用户评分
484249,长安汽车,长安欧尚科赛,2018款 1.5T 手动 型 7座,长安欧尚科赛新车电瓶无法充满刹车灯减配,车身附件及电器充电故障服务态度不解决问题其他疑似减配,2020-06-15,厂家受理
484247,上汽大众,朗逸,2017款 1.6L 手动 风尚版,上汽大众朗逸轮胎龟裂严重排气管生锈,轮胎开裂车身附件及电器排气管锈蚀服务态度不解决问题,2020-06-15,用户评分
484245,一汽-大众,宝来,2020款 280TSI DSG 精英型,一汽大众宝来发动机异响共振变速箱异响,发动机异响发动机抖动变速器异响变速器顿挫前后桥及悬挂系统底盘异响服务态度不解决问题,2020-06-15,处理反馈
484244,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越轮胎生产日期与车辆生产日期不符,服务态度不解决问题服务态度互相推诿销售欺诈出售问题车,2020-06-15,处理反馈
484243,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天探索版,一汽马自达CX-4车身多处异响厂家未解决,车身附件及电器车身异响服务态度不解决问题,2020-06-15,处理反馈
484241,吉利汽车,博越,2018款 1.8TD 自动 两驱 智慧型 4G互联版,吉利博越行车中导航不准确4S店不解决问题,车身附件及电器导航问题服务态度不解决问题,2020-06-15,处理反馈
484240,吉利汽车,博越,2016款 1.8TD 自动 两驱 智尚型,吉利博越发动机噪音大启动困难4S店未处理,发动机噪音大发动机无法启动服务态度不解决问题,2020-06-15,处理反馈
484238,北京现代,途胜,2015款 1.6T 双离合 两驱 智能型,北京现代途胜发动机起步抖动油耗高动力差,发动机抖动发动机功率不足发动机油耗高,2020-06-15,处理反馈
484233,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越车机系统及功能与宣传时不符,销售欺诈与宣传不符,2020-06-15,用户评分
484232,东风雪铁龙,凯旋,2006款 2.0L 自动 旗舰型,东风雪铁龙凯旋高速行驶中变速箱3挡锁死,变速器无法换挡,2020-06-15,处理反馈
484230,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车配置与宣传不符要求解决,销售欺诈与宣传不符,2020-06-15,用户评分
484229,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天探索版,一汽马自达CX-4左侧A柱 驾驶座车门异响,车身附件及电器门窗异响车身附件及电器车身异响,2020-06-15,处理反馈
484228,一汽马自达,马自达CX-4,2020款 2.5L 自动 两驱 蓝天驾趣版,一汽马自达CX-4转向异响 4S店态度恶劣,转向系统异响车身附件及电器部件开裂车身附件及电器车载互联故障服务态度态度蛮横服务态度厂家不回复,2020-06-15,处理反馈
484227,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700车身AB柱外观装饰板出现断裂,车身附件及电器部件开裂配件争议无零配件,2020-06-15,处理反馈
484225,东风英菲尼迪,英菲尼迪Q50L,2015款 2.0T 自动 悦享版,东风英菲尼迪Q50L后差速器漏油严重,前后桥及悬挂系统差速器漏油,2020-06-15,信息审核
484224,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱异响 车灯光线暗,变速器异响车身附件及电器车灯进水,2020-06-15,处理反馈
484223,一汽解放,解放J6P,2011款 解放J6P 9.0 集装箱 半挂 牵引汽车 CA4250P66K24T1A1 EX型,一汽解放J6P驾驶室玻璃漏水制造工艺差,车身附件及电器车身漏水,2020-06-15,信息审核
484398,东风标致,标致508,2015款 1.6THP 自动 致臻版,东风标致508发动机涡轮增压电磁阀故障,发动机涡轮增压器故障,2020-06-15,处理反馈
484395,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁低频共振噪音大影响使用,车身附件及电器车身共振,2020-06-15,用户评分
484392,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身后备箱异响 天窗异响,车身附件及电器车内异响车身附件及电器车身异响车身附件及电器天窗异响,2020-06-15,用户评分
484389,东风标致,标致4008,2019款 改款 360THP 尝先版,东风标致4008发动机抖动 噪音大,发动机抖动发动机噪音大,2020-06-15,用户评分
484388,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5发动机漏水排气管生锈4S店不处理,发动机漏防冻液车身附件及电器车身生锈车身附件及电器密封条损坏服务态度不解决问题,2020-06-15,用户评分
484386,几何汽车,几何A,2019款 高维标准续航立方版,几何A车机老旧 车身异响 厂家虚假宣传,车身附件及电器影音系统故障车身附件及电器车身异响承诺不兑现销售承诺不兑现,2020-06-15,信息审核
484385,吉利汽车,星越,2020款 350T 驭星者AWD,吉利星越配置减配和车机系统虚假宣传,销售欺诈与宣传不符其他疑似减配,2020-06-15,用户评分
484384,华晨鑫源,海狮X30L,2019款 1.5L 财富版 国VI SWC15M,金杯海狮X30L后桥整体断裂4S店不予保修,前后桥及悬挂系统前后桥断裂服务态度不予索赔,2020-06-15,信息审核
484381,几何汽车,几何A,2019款 高维标准续航幂方版,几何A车机卡顿 GPS信号差导致定位慢,车身附件及电器影音系统故障车身附件及电器导航问题车身附件及电器车载互联故障承诺不兑现销售承诺不兑现,2020-06-15,信息审核
484380,几何汽车,几何A,2019款 高维标准续航幂方版,几何A车机系统卡顿中控台异响 车内异响,车身附件及电器车内异响车身附件及电器中控台异响车身附件及电器车载互联故障承诺不兑现销售承诺不兑现,2020-06-15,信息审核
484378,几何汽车,几何A,2019款 高维标准续航幂方版,几何A车机OTA虚假宣传 导航定位慢,车身附件及电器车内异响车身附件及电器导航问题车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-15,信息审核
484374,一汽-大众,高尔夫·嘉旅,2016款 280TSI 自动 豪华型,一汽大众高尔夫嘉旅下雨时车内漏水,车身附件及电器车身漏水,2020-06-15,用户评分
484370,知豆电动车,知豆D2,2016款 D2,知豆D2无法行驶动力电池故障厂家一直没货,车身附件及电器动力电池故障服务态度不解决问题配件争议无零配件,2020-06-15,厂家受理
484369,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹行驶时天窗B柱有异响,车身附件及电器车身异响车身附件及电器天窗异响,2020-06-15,处理反馈
484368,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4后备箱异响 中控台异响,车身附件及电器车内异响车身附件及电器中控台异响车身附件及电器车身异响,2020-06-15,用户评分
484367,北京奔驰,奔驰GLB,2020款 GLB 200 时尚型,北京奔驰GLB底盘阅读灯异响希望厂家处理,前后桥及悬挂系统底盘异响车身附件及电器车内异响,2020-06-15,信息审核
484363,广汽本田,雅阁,2016款 2.0L CVT 舒适版,广汽本田雅阁日间行车灯不亮希望厂家处理,车身附件及电器车灯不亮,2020-06-15,处理反馈
484362,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,一汽马自达CX-4打开车门时有金属异响,车身附件及电器门窗异响车身附件及电器车身异响,2020-06-15,用户评分
484361,一汽马自达,马自达CX-4,2020款 2.5L 自动 四驱 蓝天激情版,一汽马自达CX-4主驾驶侧车门和B柱有异响,车身附件及电器门窗异响车身附件及电器车身异响,2020-06-15,用户评分
